FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970412;1100;64;;;
970412;1200;78;;;
970412;1300;103;;;
970412;1400;132;;;
970412;1500;92;;;
970412;1600;66;;;
970412;1700;41;;;
970412;1800;14;;;
970412;1900;5;;;
970412;2000;1;;;
970412;2100;1;;;
970412;2200;2;;;
970412;2300;2;;;
970413;0000;2;;;
970413;0100;2;;;
970413;0200;7;;;
970413;0300;11;;;
970413;0400;7;;;
970413;0500;23;;;
970413;0600;15;;;
970413;0700;17;;;
970413;0800;28;;;
970413;0900;31;;;
970413;1000;42;;;
970413;1100;70;;;
970413;1200;86;;;
970413;1300;116;;;
970413;1400;166;;;
970413;1500;146;;;
970413;1600;83;;;
970413;1700;52;;;
970413;1800;21;;;
970413;1900;6;;;
970413;2000;2;;;
970413;2100;5;;;
970413;2200;3;;;
970413;2300;8;;;
970414;0000;22;;;
970414;0100;27;;;
970414;0200;20;;;
970414;0300;27;;;
970414;0400;28;;;
970414;0500;28;;;
970414;0600;23;;;
970414;0700;6;;;
970414;0800;6;;;
970414;0900;18;;;
970414;1000;38;;;
970414;1100;55;;;
970414;1200;69;;;
970414;1300;93;;;
970414;1400;121;;;
970414;1500;128;;;
970414;1600;69;;;
970414;1700;40;;;
970414;1800;7;;;
970414;1900;2;;;
970414;2000;2;;;
970414;2100;1;;;
970414;2200;2;;;
970414;2300;2;;;
970415;0000;1;;;
970415;0100;6;;;
970415;0200;8;;;
970415;0300;6;;;
970415;0400;8;;;
970415;0500;11;;;
970415;0600;8;;;
970415;0700;3;;;
970415;0800;5;;;
970415;0900;15;;;
970415;1000;26;;;
970415;1100;49;;;
970415;1200;86;;;
970415;1300;112;;;
970415;1400;140;;;
970415;1500;135;;;
970415;1600;80;;;
970415;1700;32;;;
970415;1800;10;;;
970415;1900;2;;;
970415;2000;2;;;
970415;2100;1;;;
970415;2200;1;;;
970415;2300;2;;;
970416;0000;2;;;
970416;0100;5;;;
970416;0200;16;;;
970416;0300;16;;;
970416;0400;14;;;
970416;0500;11;;;
970416;0600;6;;;
970416;0700;3;;;
970416;0800;6;;;
970416;0900;12;;;
970416;1000;30;;;
970416;1100;58;;;
970416;1200;84;;;
970416;1300;111;;;
970416;1400;109;;;
970416;1500;65;;;
970416;1600;52;;;
970416;1700;32;;;
970416;1800;7;;;
970416;1900;1;;;
970416;2000;2;;;
970416;2100;1;;;
970416;2200;2;;;
970416;2300;1;;;
970417;0000;1;;;
970417;0100;3;;;
970417;0200;6;;;
970417;0300;9;;;
970417;0400;4;;;
970417;0500;1;;;
970417;0600;2;;;
970417;0700;1;;;
970417;0800;1;;;
970417;0900;3;;;
970417;1000;3;;;
970417;1100;10;;;
970417;1200;10;;;
970417;1300;17;;;
970417;1400;29;;;
970417;1500;41;;;
970417;1600;37;;;
970417;1700;27;;;
970417;1800;5;;;
970417;1900;3;;;
970417;2000;2;;;
970417;2100;2;;;
970417;2200;2;;;
970417;2300;1;;;
970418;0000;1;;;
970418;0100;3;;;
970418;0200;3;;;
970418;0300;4;;;
970418;0400;6;;;
970418;0500;4;;;
970418;0600;1;;;
970418;0700;2;;;
970418;0800;3;;;
970418;0900;8;;;
970418;1000;8;;;
970418;1100;19;;;
970418;1200;41;;;
970418;1300;45;;;
970418;1400;29;;;
970418;1500;19;;;
970418;1600;13;;;
970418;1700;4;;;
970418;1800;1;;;
970418;1900;1;;;
970418;2000;2;;;
970418;2100;2;;;
970418;2200;1;;;
970418;2300;1;;;
970419;0000;1;;;
970419;0100;1;;;
970419;0200;1;;;
970419;0300;1;;;
970419;0400;1;;;
970419;0500;1;;;
970419;0600;1;;;
970419;0700;1;;;
970419;0800;3;;;
970419;0900;11;;;
970419;1000;25;;;
970419;1100;39;;;
970419;1200;58;;;
970419;1300;71;;;
970419;1400;87;;;
970419;1500;85;;;
970419;1600;63;;;
970419;1700;51;;;
970419;1800;12;;;
970419;1900;2;;;
970419;2000;2;;;
970419;2100;3;;;
970419;2200;2;;;
970419;2300;1;;;
970420;0000;3;;;
970420;0100;4;;;
970420;0200;8;;;
970420;0300;8;;;
970420;0400;12;;;
970420;0500;9;;;
970420;0600;12;;;
970420;0700;6;;;
970420;0800;15;;;
970420;0900;31;;;
970420;1000;44;;;
970420;1100;65;;;
970420;1200;88;;;
970420;1300;91;;;
970420;1400;96;;;
970420;1500;62;;;
970420;1600;34;;;
970420;1700;23;;;
970420;1800;18;;;
970420;1900;6;;;
970420;2000;2;;;
970420;2100;2;;;
970420;2200;12;;;
970420;2300;4;;;
970421;0000;3;;;
970421;0100;3;;;
970421;0200;1;;;
970421;0300;10;;;
970421;0400;5;;;
970421;0500;1;;;
970421;0600;1;;;
970421;0700;2;;;
970421;0800;5;;;
970421;0900;14;;;
970421;1000;21;;;
970421;1100;41;;;
970421;1200;64;;;
970421;1300;78;;;
970421;1400;81;;;
970421;1500;70;;;
970421;1600;48;;;
970421;1700;24;;;
970421;1800;3;;;
970421;1900;1;;;
970421;2000;2;;;
970421;2100;2;;;
970421;2200;2;;;
970421;2300;1;;;
970422;0000;2;;;
970422;0100;1;;;
970422;0200;1;;;
970422;0300;1;;;
970422;0400;2;;;
970422;0500;1;;;
970422;0600;1;;;
970422;0700;1;;;
970422;0800;3;;;
970422;0900;3;;;
970422;1000;3;;;
970422;1100;13;;;
970422;1200;28;;;
970422;1300;27;;;
970422;1400;28;;;
970422;1500;33;;;
970422;1600;26;;;
970422;1700;17;;;
970422;1800;4;;;
970422;1900;5;;;
970422;2000;4;;;
970422;2100;3;;;
970422;2200;2;;;
970422;2300;2;;;
970423;0000;3;;;
970423;0100;7;;;
970423;0200;5;;;
970423;0300;4;;;
970423;0400;8;;;
970423;0500;7;;;
970423;0600;2;;;
970423;0700;2;;;
970423;0800;3;;;
970423;0900;2;;;
970423;1000;3;;;
970423;1100;11;;;
970423;1200;15;;;
970423;1300;22;;;
970423;1400;20;;;
970423;1500;26;;;
970423;1600;21;;;
970423;1700;11;;;
970423;1800;1;;;
970423;1900;1;;;
970423;2000;1;;;
970423;2100;1;;;
970423;2200;1;;;
970423;2300;1;;;
970424;0000;1;;;
970424;0100;1;;;
970424;0200;1;;;
970424;0300;1;;;
970424;0400;1;;;
970424;0500;1;;;
970424;0600;1;;;
970424;0700;1;;;
970424;0800;2;;;
970424;0900;7;;;
970424;1000;13;;;
970424;1100;26;;;
970424;1200;41;;;
970424;1300;60;;;
970424;1400;75;;;
970424;1500;67;;;
970424;1600;42;;;
970424;1700;22;;;
970424;1800;6;;;
970424;1900;1;;;
970424;2000;1;;;
970424;2100;1;;;
970424;2200;1;;;
970424;2300;1;;;
970425;0000;1;;;
970425;0100;1;;;
970425;0200;1;;;
970425;0300;3;;;
970425;0400;4;;;
970425;0500;6;;;
970425;0600;2;;;
970425;0700;2;;;
970425;0800;4;;;
970425;0900;11;;;
970425;1000;22;;;
970425;1100;35;;;
970425;1200;64;;;
970425;1300;76;;;
970425;1400;107;;;
970425;1500;139;;;
970425;1600;115;;;
970425;1700;49;;;
970425;1800;5;;;
970425;1900;3;;;
970425;2000;2;;;
970425;2100;2;;;
970425;2200;2;;;
970425;2300;3;;;
970426;0000;4;;;
970426;0100;4;;;
970426;0200;10;;;
970426;0300;10;;;
970426;0400;6;;;
970426;0500;9;;;
970426;0600;10;;;
970426;0700;5;;;
970426;0800;7;;;
970426;0900;9;;;
970426;1000;26;;;
970426;1100;34;;;
970426;1200;54;;;
970426;1300;60;;;
970426;1400;55;;;
970426;1500;42;;;
970426;1600;7;;;
970426;1700;2;;;
970426;1800;4;;;
970426;1900;4;;;
970426;2000;31;;;
970426;2100;24;;;
970426;2200;17;;;
970426;2300;10;;;
970427;0000;6;;;
970427;0100;5;;;
970427;0200;4;;;
970427;0300;8;;;
970427;0400;4;;;
970427;0500;4;;;
