FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040805;1300;20;;;
040805;1400;23;;;
040805;1500;23;;;
040805;1600;19;;;
040805;1700;5;;;
040805;1800;8;;;
040805;1900;8;;;
040805;2000;1;;;
040805;2100;1;;;
040805;2200;1;;;
040805;2300;1;;;
040806;0000;2;;;
040806;0100;4;;;
040806;0200;7;;;
040806;0300;6;;;
040806;0400;6;;;
040806;0500;5;;;
040806;0600;2;;;
040806;0700;1;;;
040806;0800;3;;;
040806;0900;7;;;
040806;1000;10;;;
040806;1100;11;;;
040806;1200;16;;;
040806;1300;19;;;
040806;1400;20;;;
040806;1500;22;;;
040806;1600;15;;;
040806;1700;3;;;
040806;1800;1;;;
040806;1900;1;;;
040806;2000;1;;;
040806;2100;1;;;
040806;2200;1;;;
040806;2300;1;;;
040807;0000;1;;;
040807;0100;2;;;
040807;0200;1;;;
040807;0300;1;;;
040807;0400;6;;;
040807;0500;6;;;
040807;0600;5;;;
040807;0700;1;;;
040807;0800;3;;;
040807;0900;8;;;
040807;1000;12;;;
040807;1100;16;;;
040807;1200;11;;;
040807;1300;16;;;
040807;1400;22;;;
040807;1500;26;;;
040807;1600;18;;;
040807;1700;3;;;
040807;1800;1;;;
040807;1900;1;;;
040807;2000;1;;;
040807;2100;1;;;
040807;2200;1;;;
040807;2300;1;;;
040808;0000;1;;;
040808;0100;1;;;
040808;0200;1;;;
040808;0300;1;;;
040808;0400;2;;;
040808;0500;7;;;
040808;0600;1;;;
040808;0700;1;;;
040808;0800;2;;;
040808;0900;5;;;
040808;1000;9;;;
040808;1100;15;;;
040808;1200;22;;;
040808;1300;31;;;
040808;1400;28;;;
040808;1500;26;;;
040808;1600;18;;;
040808;1700;6;;;
040808;1800;3;;;
040808;1900;1;;;
040808;2000;1;;;
040808;2100;1;;;
040808;2200;1;;;
040808;2300;1;;;
040809;0000;1;;;
040809;0100;1;;;
040809;0200;1;;;
040809;0300;1;;;
040809;0400;1;;;
040809;0500;1;;;
040809;0600;1;;;
040809;0700;1;;;
040809;0800;1;;;
040809;0900;1;;;
040809;1000;1;;;
040809;1100;1;;;
040809;1200;2;;;
040809;1300;4;;;
040809;1400;5;;;
040809;1500;9;;;
040809;1600;4;;;
040809;1700;4;;;
040809;1800;1;;;
040809;1900;1;;;
040809;2000;1;;;
040809;2100;1;;;
040809;2200;1;;;
040809;2300;1;;;
040810;0000;1;;;
040810;0100;1;;;
040810;0200;1;;;
040810;0300;1;;;
040810;0400;1;;;
040810;0500;1;;;
040810;0600;1;;;
040810;0700;1;;;
040810;0800;1;;;
040810;0900;3;;;
040810;1000;8;;;
040810;1100;7;;;
040810;1200;12;;;
040810;1300;18;;;
040810;1400;24;;;
040810;1500;23;;;
040810;1600;18;;;
040810;1700;13;;;
040810;1800;6;;;
040810;1900;1;;;
040810;2000;1;;;
040810;2100;1;;;
040810;2200;1;;;
040810;2300;1;;;
040811;0000;1;;;
040811;0100;1;;;
040811;0200;1;;;
040811;0300;1;;;
040811;0400;1;;;
040811;0500;1;;;
040811;0600;1;;;
040811;0700;1;;;
040811;0800;1;;;
040811;0900;1;;;
040811;1000;4;;;
040811;1100;12;;;
040811;1200;15;;;
040811;1300;20;;;
040811;1400;24;;;
040811;1500;23;;;
040811;1600;19;;;
040811;1700;9;;;
040811;1800;1;;;
040811;1900;1;;;
040811;2000;1;;;
040811;2100;1;;;
040811;2200;1;;;
040811;2300;1;;;
040812;0000;1;;;
040812;0100;1;;;
040812;0200;2;;;
040812;0300;1;;;
040812;0400;2;;;
040812;0500;4;;;
040812;0600;2;;;
040812;0700;1;;;
040812;0800;2;;;
040812;0900;4;;;
040812;1000;3;;;
040812;1100;8;;;
040812;1200;17;;;
040812;1300;24;;;
040812;1400;24;;;
040812;1500;37;;;
040812;1600;33;;;
040812;1700;7;;;
040812;1800;1;;;
040812;1900;1;;;
040812;2000;1;;;
040812;2100;1;;;
040812;2200;1;;;
040812;2300;1;;;
040813;0000;1;;;
040813;0100;1;;;
040813;0200;1;;;
040813;0300;1;;;
040813;0400;1;;;
040813;0500;1;;;
040813;0600;1;;;
040813;0700;1;;;
040813;0800;1;;;
040813;0900;1;;;
040813;1000;1;;;
040813;1100;1;;;
040813;1200;1;;;
040813;1300;2;;;
040813;1400;2;;;
040813;1500;6;;;
040813;1600;4;;;
040813;1700;2;;;
040813;1800;1;;;
040813;1900;1;;;
040813;2000;1;;;
040813;2100;1;;;
040813;2200;1;;;
040813;2300;1;;;
040814;0000;1;;;
040814;0100;1;;;
040814;0200;1;;;
040814;0300;1;;;
040814;0400;1;;;
040814;0500;1;;;
040814;0600;1;;;
040814;0700;1;;;
040814;0800;1;;;
040814;0900;4;;;
040814;1000;8;;;
040814;1100;7;;;
040814;1200;12;;;
040814;1300;14;;;
040814;1400;17;;;
040814;1500;16;;;
040814;1600;12;;;
040814;1700;8;;;
040814;1800;3;;;
040814;1900;8;;;
040814;2000;12;;;
040814;2100;16;;;
040814;2200;21;;;
040814;2300;23;;;
040815;0000;23;;;
040815;0100;21;;;
040815;0200;22;;;
040815;0300;22;;;
040815;0400;22;;;
040815;0500;18;;;
040815;0600;15;;;
040815;0700;7;;;
040815;0800;4;;;
040815;0900;13;;;
040815;1000;17;;;
040815;1100;16;;;
040815;1200;18;;;
040815;1300;19;;;
040815;1400;20;;;
040815;1500;23;;;
040815;1600;23;;;
040815;1700;16;;;
040815;1800;9;;;
040815;1900;3;;;
040815;2000;1;;;
040815;2100;1;;;
040815;2200;1;;;
040815;2300;1;;;
040816;0000;1;;;
040816;0100;1;;;
040816;0200;1;;;
040816;0300;1;;;
040816;0400;1;;;
040816;0500;1;;;
040816;0600;1;;;
040816;0700;1;;;
040816;0800;1;;;
040816;0900;1;;;
040816;1000;1;;;
040816;1100;2;;;
040816;1200;3;;;
040816;1300;3;;;
040816;1400;4;;;
040816;1500;4;;;
040816;1600;5;;;
040816;1700;8;;;
040816;1800;5;;;
040816;1900;5;;;
040816;2000;7;;;
040816;2100;2;;;
040816;2200;1;;;
040816;2300;1;;;
040817;0000;1;;;
040817;0100;1;;;
040817;0200;3;;;
040817;0300;6;;;
040817;0400;8;;;
040817;0500;7;;;
040817;0600;3;;;
040817;0700;1;;;
040817;0800;2;;;
040817;0900;8;;;
040817;1000;18;;;
040817;1100;24;;;
040817;1200;20;;;
040817;1300;23;;;
040817;1400;26;;;
040817;1500;28;;;
040817;1600;22;;;
040817;1700;12;;;
040817;1800;3;;;
040817;1900;1;;;
040817;2000;1;;;
040817;2100;1;;;
040817;2200;1;;;
040817;2300;1;;;
040818;0000;1;;;
040818;0100;1;;;
040818;0200;1;;;
040818;0300;1;;;
040818;0400;1;;;
040818;0500;1;;;
040818;0600;1;;;
040818;0700;1;;;
040818;0800;1;;;
040818;0900;3;;;
040818;1000;15;;;
040818;1100;19;;;
040818;1200;18;;;
040818;1300;22;;;
040818;1400;33;;;
040818;1500;32;;;
040818;1600;20;;;
040818;1700;14;;;
040818;1800;9;;;
040818;1900;5;;;
040818;2000;1;;;
040818;2100;1;;;
040818;2200;1;;;
040818;2300;1;;;
040819;0000;1;;;
040819;0100;1;;;
040819;0200;1;;;
040819;0300;1;;;
040819;0400;1;;;
040819;0500;2;;;
040819;0600;2;;;
040819;0700;1;;;
040819;0800;2;;;
040819;0900;4;;;
040819;1000;2;;;
040819;1100;3;;;
040819;1200;9;;;
040819;1300;25;;;
040819;1400;16;;;
040819;1500;12;;;
040819;1600;18;;;
040819;1700;19;;;
040819;1800;11;;;
040819;1900;4;;;
040819;2000;4;;;
040819;2100;11;;;
040819;2200;3;;;
040819;2300;1;;;
040820;0000;2;;;
040820;0100;1;;;
040820;0200;1;;;
040820;0300;1;;;
040820;0400;2;;;
040820;0500;1;;;
040820;0600;2;;;
040820;0700;1;;;
040820;0800;2;;;
040820;0900;13;;;
040820;1000;23;;;
040820;1100;21;;;
040820;1200;20;;;
040820;1300;25;;;
040820;1400;24;;;
040820;1500;27;;;
040820;1600;26;;;
040820;1700;21;;;
040820;1800;4;;;
040820;1900;1;;;
040820;2000;1;;;
040820;2100;2;;;
040820;2200;1;;;
040820;2300;1;;;
040821;0000;1;;;
040821;0100;1;;;
040821;0200;1;;;
040821;0300;2;;;
040821;0400;2;;;
040821;0500;1;;;
040821;0600;1;;;
040821;0700;1;;;
040821;0800;3;;;
040821;0900;9;;;
040821;1000;18;;;
040821;1100;20;;;
040821;1200;29;;;
040821;1300;31;;;
040821;1400;32;;;
040821;1500;38;;;
040821;1600;31;;;
040821;1700;24;;;
040821;1800;9;;;
040821;1900;1;;;
040821;2000;1;;;
040821;2100;1;;;
040821;2200;1;;;
040821;2300;1;;;
040822;0000;1;;;
040822;0100;1;;;
040822;0200;1;;;
040822;0300;1;;;
040822;0400;1;;;
040822;0500;2;;;
040822;0600;1;;;
040822;0700;1;;;
040822;0800;6;;;
040822;0900;17;;;
040822;1000;20;;;
040822;1100;22;;;
040822;1200;34;;;
040822;1300;46;;;
040822;1400;53;;;
040822;1500;69;;;
040822;1600;67;;;
040822;1700;50;;;
040822;1800;18;;;
040822;1900;3;;;
040822;2000;1;;;
040822;2100;1;;;
040822;2200;1;;;
040822;2300;1;;;
040823;0000;1;;;
040823;0100;1;;;
040823;0200;8;;;
040823;0300;7;;;
040823;0400;8;;;
040823;0500;7;;;
040823;0600;3;;;
040823;0700;1;;;
040823;0800;2;;;
040823;0900;6;;;
040823;1000;11;;;
040823;1100;19;;;
040823;1200;32;;;
040823;1300;33;;;
040823;1400;38;;;
040823;1500;42;;;
040823;1600;41;;;
040823;1700;20;;;
040823;1800;5;;;
040823;1900;1;;;
040823;2000;1;;;
040823;2100;1;;;
040823;2200;1;;;
040823;2300;1;;;
040824;0000;1;;;
040824;0100;3;;;
040824;0200;6;;;
040824;0300;8;;;
040824;0400;5;;;
040824;0500;5;;;
040824;0600;1;;;
040824;0700;2;;;
040824;0800;2;;;
040824;0900;9;;;
040824;1000;10;;;
040824;1100;18;;;
040824;1200;36;;;
040824;1300;51;;;
040824;1400;60;;;
040824;1500;51;;;
040824;1600;35;;;
040824;1700;15;;;
040824;1800;2;;;
040824;1900;1;;;
040824;2000;1;;;
040824;2100;1;;;
040824;2200;1;;;
040824;2300;1;;;
040825;0000;1;;;
040825;0100;1;;;
040825;0200;1;;;
040825;0300;7;;;
040825;0400;9;;;
040825;0500;7;;;
040825;0600;2;;;
040825;0700;1;;;
040825;0800;2;;;
040825;0900;7;;;
040825;1000;20;;;
040825;1100;32;;;
040825;1200;31;;;
040825;1300;29;;;
040825;1400;51;;;
040825;1500;59;;;
040825;1600;42;;;
040825;1700;24;;;
040825;1800;4;;;
040825;1900;1;;;
040825;2000;1;;;
040825;2100;1;;;
040825;2200;1;;;
040825;2300;1;;;
040826;0000;1;;;
040826;0100;1;;;
040826;0200;1;;;
040826;0300;1;;;
040826;0400;1;;;
040826;0500;1;;;
040826;0600;1;;;
040826;0700;1;;;
040826;0800;1;;;
040826;0900;6;;;
040826;1000;6;;;
040826;1100;7;;;
040826;1200;4;;;
040826;1300;8;;;
040826;1400;9;;;
040826;1500;2;;;
040826;1600;1;;;
040826;1700;1;;;
040826;1800;1;;;
040826;1900;1;;;
040826;2000;1;;;
040826;2100;1;;;
040826;2200;1;;;
040826;2300;1;;;
040827;0000;1;;;
040827;0100;1;;;
040827;0200;1;;;
040827;0300;1;;;
040827;0400;1;;;
040827;0500;1;;;
040827;0600;1;;;
040827;0700;1;;;
040827;0800;1;;;
040827;0900;7;;;
040827;1000;17;;;
040827;1100;28;;;
040827;1200;24;;;
040827;1300;37;;;
040827;1400;43;;;
040827;1500;39;;;
040827;1600;34;;;
040827;1700;21;;;
040827;1800;2;;;
040827;1900;1;;;
040827;2000;1;;;
040827;2100;1;;;
040827;2200;1;;;
040827;2300;1;;;
040828;0000;1;;;
040828;0100;1;;;
040828;0200;2;;;
040828;0300;2;;;
040828;0400;1;;;
040828;0500;1;;;
040828;0600;3;;;
040828;0700;2;;;
040828;0800;1;;;
040828;0900;3;;;
040828;1000;10;;;
040828;1100;19;;;
040828;1200;28;;;
040828;1300;47;;;
040828;1400;63;;;
040828;1500;55;;;
040828;1600;47;;;
040828;1700;36;;;
040828;1800;19;;;
040828;1900;3;;;
040828;2000;1;;;
040828;2100;1;;;
040828;2200;1;;;
040828;2300;2;;;
040829;0000;9;;;
040829;0100;5;;;
040829;0200;2;;;
040829;0300;5;;;
040829;0400;8;;;
040829;0500;11;;;
040829;0600;15;;;
040829;0700;8;;;
040829;0800;7;;;
040829;0900;20;;;
040829;1000;37;;;
040829;1100;41;;;
040829;1200;56;;;
040829;1300;69;;;
040829;1400;73;;;
040829;1500;72;;;
040829;1600;77;;;
040829;1700;46;;;
040829;1800;13;;;
040829;1900;1;;;
040829;2000;10;;;
040829;2100;3;;;
040829;2200;5;;;
040829;2300;13;;;
040830;0000;13;;;
040830;0100;20;;;
040830;0200;16;;;
040830;0300;17;;;
040830;0400;16;;;
040830;0500;11;;;
040830;0600;4;;;
040830;0700;1;;;
040830;0800;2;;;
040830;0900;6;;;
040830;1000;16;;;
040830;1100;22;;;
040830;1200;29;;;
040830;1300;34;;;
040830;1400;57;;;
040830;1500;51;;;
040830;1600;40;;;
040830;1700;29;;;
040830;1800;6;;;
040830;1900;1;;;
040830;2000;1;;;
040830;2100;1;;;
040830;2200;1;;;
040830;2300;1;;;
040831;0000;1;;;
040831;0100;5;;;
040831;0200;11;;;
040831;0300;12;;;
040831;0400;12;;;
040831;0500;10;;;
040831;0600;3;;;
040831;0700;1;;;
040831;0800;2;;;
040831;0900;6;;;
040831;1000;17;;;
040831;1100;31;;;
040831;1200;39;;;
040831;1300;60;;;
040831;1400;52;;;
040831;1500;33;;;
040831;1600;24;;;
040831;1700;8;;;
040831;1800;1;;;
040831;1900;1;;;
040831;2000;1;;;
040831;2100;1;;;
040831;2200;1;;;
040831;2300;1;;;
040901;0000;1;;;
040901;0100;1;;;
040901;0200;1;;;
040901;0300;1;;;
040901;0400;1;;;
040901;0500;4;;;
040901;0600;2;;;
040901;0700;1;;;
040901;0800;1;;;
040901;0900;6;;;
040901;1000;14;;;
040901;1100;19;;;
040901;1200;37;;;
040901;1300;52;;;
040901;1400;57;;;
040901;1500;70;;;
040901;1600;65;;;
040901;1700;39;;;
040901;1800;12;;;
040901;1900;1;;;
040901;2000;1;;;
040901;2100;1;;;
040901;2200;1;;;
040901;2300;1;;;
040902;0000;9;;;
040902;0100;7;;;
040902;0200;12;;;
040902;0300;9;;;
040902;0400;16;;;
040902;0500;10;;;
040902;0600;3;;;
040902;0700;2;;;
040902;0800;2;;;
040902;0900;4;;;
040902;1000;3;;;
040902;1100;4;;;
040902;1200;11;;;
040902;1300;11;;;
040902;1400;19;;;
040902;1500;31;;;
040902;1600;36;;;
040902;1700;34;;;
040902;1800;7;;;
040902;1900;1;;;
040902;2000;1;;;
040902;2100;1;;;
040902;2200;1;;;
040902;2300;1;;;
040903;0000;3;;;
040903;0100;7;;;
040903;0200;12;;;
040903;0300;11;;;
040903;0400;11;;;
040903;0500;7;;;
040903;0600;2;;;
040903;0700;1;;;
040903;0800;2;;;
040903;0900;5;;;
040903;1000;3;;;
040903;1100;5;;;
040903;1200;9;;;
040903;1300;13;;;
040903;1400;16;;;
040903;1500;17;;;
040903;1600;13;;;
040903;1700;5;;;
040903;1800;2;;;
040903;1900;4;;;
040903;2000;4;;;
040903;2100;7;;;
040903;2200;4;;;
040903;2300;2;;;
040904;0000;2;;;
040904;0100;2;;;
040904;0200;4;;;
040904;0300;1;;;
040904;0400;7;;;
040904;0500;7;;;
040904;0600;1;;;
040904;0700;3;;;
040904;0800;7;;;
040904;0900;5;;;
040904;1000;2;;;
040904;1100;4;;;
040904;1200;6;;;
040904;1300;11;;;
040904;1400;8;;;
040904;1500;17;;;
040904;1600;14;;;
040904;1700;8;;;
040904;1800;2;;;
040904;1900;6;;;
040904;2000;2;;;
040904;2100;1;;;
040904;2200;1;;;
040904;2300;1;;;
040905;0000;1;;;
040905;0100;1;;;
040905;0200;1;;;
040905;0300;1;;;
040905;0400;1;;;
040905;0500;2;;;
040905;0600;5;;;
040905;0700;1;;;
040905;0800;2;;;
040905;0900;2;;;
040905;1000;5;;;
040905;1100;13;;;
040905;1200;18;;;
040905;1300;22;;;
040905;1400;18;;;
040905;1500;14;;;
040905;1600;7;;;
040905;1700;2;;;
040905;1800;1;;;
040905;1900;1;;;
040905;2000;1;;;
040905;2100;1;;;
040905;2200;1;;;
040905;2300;1;;;
040906;0000;1;;;
040906;0100;1;;;
040906;0200;1;;;
040906;0300;2;;;
040906;0400;4;;;
040906;0500;6;;;
040906;0600;3;;;
040906;0700;1;;;
040906;0800;1;;;
040906;0900;1;;;
040906;1000;1;;;
040906;1100;3;;;
040906;1200;;;;
040906;1300;4;;;
040906;1400;8;;;
040906;1500;10;;;
040906;1600;12;;;
040906;1700;9;;;
040906;1800;8;;;
040906;1900;14;;;
040906;2000;15;;;
040906;2100;6;;;
040906;2200;8;;;
040906;2300;9;;;
040907;0000;17;;;
040907;0100;22;;;
040907;0200;22;;;
040907;0300;18;;;
040907;0400;18;;;
040907;0500;12;;;
040907;0600;5;;;
040907;0700;4;;;
040907;0800;5;;;
040907;0900;7;;;
040907;1000;13;;;
040907;1100;18;;;
040907;1200;9;;;
040907;1300;3;;;
040907;1400;5;;;
040907;1500;3;;;
040907;1600;4;;;
040907;1700;2;;;
040907;1800;2;;;
040907;1900;2;;;
040907;2000;2;;;
040907;2100;4;;;
040907;2200;5;;;
040907;2300;4;;;
040908;0000;2;;;
040908;0100;2;;;
040908;0200;3;;;
040908;0300;7;;;
040908;0400;12;;;
040908;0500;12;;;
040908;0600;5;;;
040908;0700;2;;;
040908;0800;4;;;
040908;0900;6;;;
040908;1000;8;;;
040908;1100;16;;;
040908;1200;25;;;
040908;1300;26;;;
040908;1400;23;;;
040908;1500;;;23,0111;
040908;1600;19;;;
040908;1700;15;;;
040908;1800;5;;;
040908;1900;1;;;
040908;2000;1;;;
040908;2100;1;;;
040908;2200;1;;;
040908;2300;1;;;
040909;0000;1;;;
040909;0100;1;;;
040909;0200;1;;;
040909;0300;1;;;
040909;0400;1;;;
040909;0500;1;;;
040909;0600;1;;;
040909;0700;1;;;
040909;0800;3;;;
040909;0900;9;;;
040909;1000;15;;;
040909;1100;23;;;
040909;1200;24;;;
040909;1300;28;;;
040909;1400;37;;;
040909;1500;51;;;
040909;1600;41;;;
040909;1700;29;;;
040909;1800;13;;;
040909;1900;1;;;
040909;2000;1;;;
040909;2100;1;;;
040909;2200;1;;;
040909;2300;1;;;
040910;0000;1;;;
040910;0100;1;;;
040910;0200;1;;;
040910;0300;1;;;
040910;0400;1;;;
040910;0500;1;;;
040910;0600;1;;;
040910;0700;1;;;
040910;0800;2;;;
040910;0900;6;;;
040910;1000;14;;;
040910;1100;26;;;
040910;1200;31;;;
040910;1300;36;;;
040910;1400;47;;;
040910;1500;55;;;
040910;1600;44;;;
040910;1700;32;;;
040910;1800;14;;;
040910;1900;2;;;
040910;2000;1;;;
040910;2100;1;;;
040910;2200;1;;;
040910;2300;1;;;
040911;0000;1;;;
040911;0100;1;;;
040911;0200;1;;;
040911;0300;1;;;
040911;0400;1;;;
040911;0500;1;;;
040911;0600;2;;;
040911;0700;1;;;
040911;0800;4;;;
040911;0900;13;;;
040911;1000;16;;;
040911;1100;29;;;
040911;1200;36;;;
040911;1300;43;;;
040911;1400;48;;;
040911;1500;59;;;
040911;1600;69;;;
040911;1700;48;;;
040911;1800;27;;;
040911;1900;7;;;
040911;2000;10;;;
040911;2100;6;;;
040911;2200;4;;;
040911;2300;10;;;
040912;0000;15;;;
040912;0100;16;;;
040912;0200;15;;;
040912;0300;17;;;
040912;0400;18;;;
040912;0500;20;;;
040912;0600;14;;;
040912;0700;8;;;
040912;0800;12;;;
040912;0900;26;;;
040912;1000;23;;;
040912;1100;32;;;
040912;1200;48;;;
040912;1300;60;;;
040912;1400;68;;;
040912;1500;75;;;
040912;1600;77;;;
040912;1700;77;;;
040912;1800;30;;;
040912;1900;5;;;
040912;2000;2;;;
040912;2100;4;;;
040912;2200;10;;;
040912;2300;6;;;
040913;0000;9;;;
040913;0100;11;;;
040913;0200;14;;;
040913;0300;16;;;
040913;0400;14;;;
040913;0500;9;;;
040913;0600;4;;;
040913;0700;1;;;
040913;0800;8;;;
040913;0900;25;;;
040913;1000;23;;;
040913;1100;31;;;
040913;1200;41;;;
040913;1300;55;;;
040913;1400;65;;;
040913;1500;70;;;
040913;1600;57;;;
040913;1700;41;;;
040913;1800;12;;;
040913;1900;1;;;
040913;2000;1;;;
040913;2100;1;;;
040913;2200;1;;;
040913;2300;1;;;
040914;0000;1;;;
040914;0100;1;;;
040914;0200;1;;;
040914;0300;1;;;
040914;0400;3;;;
040914;0500;2;;;
040914;0600;1;;;
040914;0700;1;;;
040914;0800;3;;;
040914;0900;13;;;
040914;1000;15;;;
040914;1100;19;;;
040914;1200;;;;
040914;1300;41;;;
040914;1400;46;;;
040914;1500;57;;;
040914;1600;72;;;
040914;1700;46;;;
040914;1800;20;;;
040914;1900;3;;;
040914;2000;1;;;
040914;2100;1;;;
040914;2200;1;;;
040914;2300;1;;;
040915;0000;1;;;
040915;0100;1;;;
040915;0200;4;;;
040915;0300;9;;;
040915;0400;2;;;
040915;0500;8;;;
040915;0600;7;;;
040915;0700;2;;;
040915;0800;6;;;
040915;0900;18;;;
040915;1000;19;;;
040915;1100;41;;;
040915;1200;50;;;
040915;1300;55;;;
040915;1400;70;;;
040915;1500;73;;;
040915;1600;66;;;
040915;1700;53;;;
040915;1800;6;;;
040915;1900;12;;;
040915;2000;5;;;
040915;2100;1;;;
040915;2200;2;;;
040915;2300;4;;;
040916;0000;5;;;
040916;0100;21;;;
040916;0200;15;;;
040916;0300;16;;;
040916;0400;26;;;
040916;0500;14;;;
040916;0600;10;;;
040916;0700;5;;;
040916;0800;7;;;
040916;0900;14;;;
040916;1000;25;;;
040916;1100;36;;;
040916;1200;45;;;
040916;1300;62;;;
040916;1400;74;;;
040916;1500;85;;;
040916;1600;79;;;
040916;1700;42;;;
040916;1800;18;;;
040916;1900;3;;;
040916;2000;1;;;
040916;2100;1;;;
040916;2200;1;;;
040916;2300;1;;;
040917;0000;1;;;
040917;0100;1;;;
040917;0200;1;;;
040917;0300;1;;;
040917;0400;1;;;
040917;0500;1;;;
040917;0600;1;;;
040917;0700;1;;;
040917;0800;2;;;
040917;0900;4;;;
040917;1000;8;;;
040917;1100;15;;;
040917;1200;22;;;
040917;1300;34;;;
040917;1400;42;;;
040917;1500;41;;;
040917;1600;32;;;
040917;1700;25;;;
040917;1800;19;;;
040917;1900;9;;;
040917;2000;2;;;
040917;2100;1;;;
040917;2200;3;;;
040917;2300;16;;;
040918;0000;16;;;
040918;0100;13;;;
040918;0200;20;;;
040918;0300;18;;;
040918;0400;17;;;
040918;0500;15;;;
040918;0600;13;;;
040918;0700;13;;;
040918;0800;12;;;
040918;0900;11;;;
040918;1000;15;;;
040918;1100;18;;;
040918;1200;26;;;
040918;1300;31;;;
040918;1400;35;;;
040918;1500;28;;;
040918;1600;24;;;
040918;1700;19;;;
040918;1800;14;;;
040918;1900;15;;;
040918;2000;15;;;
040918;2100;17;;;
040918;2200;14;;;
040918;2300;10;;;
040919;0000;9;;;
040919;0100;8;;;
040919;0200;9;;;
040919;0300;13;;;
040919;0400;13;;;
040919;0500;10;;;
040919;0600;10;;;
040919;0700;8;;;
040919;0800;9;;;
040919;0900;10;;;
040919;1000;12;;;
040919;1100;14;;;
040919;1200;20;;;
040919;1300;30;;;
040919;1400;40;;;
040919;1500;44;;;
040919;1600;44;;;
040919;1700;41;;;
040919;1800;24;;;
040919;1900;6;;;
040919;2000;1;;;
040919;2100;1;;;
040919;2200;1;;;
040919;2300;1;;;
040920;0000;1;;;
040920;0100;1;;;
040920;0200;1;;;
040920;0300;2;;;
040920;0400;1;;;
040920;0500;1;;;
040920;0600;2;;;
040920;0700;1;;;
040920;0800;6;;;
040920;0900;15;;;
040920;1000;23;;;
040920;1100;30;;;
040920;1200;37;;;
040920;1300;45;;;
040920;1400;41;;;
040920;1500;34;;;
040920;1600;28;;;
040920;1700;23;;;
040920;1800;15;;;
040920;1900;8;;;
040920;2000;11;;;
040920;2100;3;;;
040920;2200;4;;;
040920;2300;6;;;
040921;0000;15;;;
040921;0100;18;;;
040921;0200;16;;;
040921;0300;16;;;
040921;0400;15;;;
040921;0500;15;;;
040921;0600;14;;;
040921;0700;9;;;
040921;0800;3;;;
040921;0900;3;;;
040921;1000;6;;;
040921;1100;10;;;
040921;1200;19;;;
040921;1300;22;;;
040921;1400;29;;;
040921;1500;31;;;
040921;1600;34;;;
040921;1700;31;;;
040921;1800;22;;;
040921;1900;3;;;
040921;2000;1;;;
040921;2100;1;;;
040921;2200;1;;;
040921;2300;1;;;
040922;0000;1;;;
040922;0100;1;;;
040922;0200;1;;;
040922;0300;2;;;
040922;0400;1;;;
040922;0500;1;;;
040922;0600;1;;;
040922;0700;3;;;
040922;0800;8;;;
040922;0900;13;;;
040922;1000;24;;;
040922;1100;27;;;
040922;1200;36;;;
040922;1300;46;;;
040922;1400;56;;;
040922;1500;52;;;
040922;1600;46;;;
040922;1700;32;;;
040922;1800;20;;;
040922;1900;3;;;
040922;2000;1;;;
040922;2100;1;;;
040922;2200;1;;;
040922;2300;1;;;
040923;0000;1;;;
040923;0100;2;;;
040923;0200;5;;;
040923;0300;7;;;
040923;0400;4;;;
040923;0500;4;;;
040923;0600;6;;;
040923;0700;2;;;
040923;0800;8;;;
040923;0900;22;;;
040923;1000;21;;;
040923;1100;23;;;
040923;1200;38;;;
040923;1300;52;;;
040923;1400;55;;;
040923;1500;48;;;
040923;1600;45;;;
040923;1700;37;;;
040923;1800;20;;;
040923;1900;1;;;
040923;2000;1;;;
040923;2100;1;;;
040923;2200;1;;;
040923;2300;1;;;
040924;0000;1;;;
040924;0100;1;;;
040924;0200;4;;;
040924;0300;9;;;
040924;0400;7;;;
040924;0500;8;;;
040924;0600;4;;;
040924;0700;3;;;
040924;0800;8;;;
040924;0900;20;;;
040924;1000;21;;;
040924;1100;32;;;
040924;1200;52;;;
040924;1300;57;;;
040924;1400;64;;;
040924;1500;83;;;
040924;1600;67;;;
040924;1700;39;;;
040924;1800;15;;;
040924;1900;2;;;
040924;2000;1;;;
040924;2100;1;;;
040924;2200;1;;;
040924;2300;1;;;
040925;0000;1;;;
040925;0100;3;;;
040925;0200;1;;;
040925;0300;4;;;
040925;0400;3;;;
040925;0500;3;;;
040925;0600;2;;;
040925;0700;4;;;
040925;0800;11;;;
040925;0900;14;;;
040925;1000;27;;;
040925;1100;37;;;
040925;1200;53;;;
040925;1300;67;;;
040925;1400;71;;;
040925;1500;73;;;
040925;1600;46;;;
040925;1700;28;;;
040925;1800;15;;;
040925;1900;4;;;
040925;2000;1;;;
040925;2100;1;;;
040925;2200;1;;;
040925;2300;1;;;
040926;0000;1;;;
040926;0100;4;;;
040926;0200;1;;;
040926;0300;1;;;
040926;0400;6;;;
040926;0500;10;;;
040926;0600;9;;;
040926;0700;6;;;
040926;0800;19;;;
040926;0900;33;;;
040926;1000;43;;;
040926;1100;51;;;
040926;1200;62;;;
040926;1300;63;;;
040926;1400;67;;;
040926;1500;70;;;
040926;1600;65;;;
040926;1700;46;;;
040926;1800;27;;;
040926;1900;20;;;
040926;2000;15;;;
040926;2100;12;;;
040926;2200;9;;;
040926;2300;9;;;
040927;0000;12;;;
040927;0100;2;;;
040927;0200;5;;;
040927;0300;4;;;
040927;0400;12;;;
040927;0500;8;;;
040927;0600;6;;;
040927;0700;6;;;
040927;0800;7;;;
